word_id,word,document_frequency,idf,total_occurrences,avg_tf,avg_tfidf,max_tf,max_tfidf,documents_with_word_ratio
1076,businesses,1,6.075346031088684,1,0.0011494252873563218,0.0003741570853165702,1,0.32551666422541603,0.0011494252873563218
1075,boom,1,6.075346031088684,1,0.0011494252873563218,0.0003741570853165702,1,0.32551666422541603,0.0011494252873563218
1080,winwin,1,6.075346031088684,1,0.0011494252873563218,0.0003741570853165702,1,0.32551666422541603,0.0011494252873563218
1073,workingclass,1,6.075346031088684,1,0.0011494252873563218,0.0003735513595339896,1,0.32498968279457097,0.0011494252873563218
1067,hollywoods,1,6.075346031088684,1,0.0011494252873563218,0.0003735513595339896,1,0.32498968279457097,0.0011494252873563218
1072,wieners,1,6.075346031088684,1,0.0011494252873563218,0.0003735513595339896,1,0.32498968279457097,0.0011494252873563218
1069,rebel,1,6.075346031088684,1,0.0011494252873563218,0.0003735513595339896,1,0.32498968279457097,0.0011494252873563218
1070,revolt,1,6.075346031088684,1,0.0011494252873563218,0.0003735513595339896,1,0.32498968279457097,0.0011494252873563218
1066,fantasies,1,6.075346031088684,1,0.0011494252873563218,0.0003735513595339896,1,0.32498968279457097,0.0011494252873563218
510,dilettantes,1,6.075346031088684,1,0.0011494252873563218,0.00037343609639518295,1,0.32488940386380916,0.0011494252873563218
514,sexually,1,6.075346031088684,1,0.0011494252873563218,0.00037343609639518295,1,0.32488940386380916,0.0011494252873563218
508,deplora,1,6.075346031088684,1,0.0011494252873563218,0.00037343609639518295,1,0.32488940386380916,0.0011494252873563218
511,misruleno,1,6.075346031088684,1,0.0011494252873563218,0.00037343609639518295,1,0.32488940386380916,0.0011494252873563218
509,deviant,1,6.075346031088684,1,0.0011494252873563218,0.00037343609639518295,1,0.32488940386380916,0.0011494252873563218
507,decadent,1,6.075346031088684,1,0.0011494252873563218,0.00037343609639518295,1,0.32488940386380916,0.0011494252873563218
1833,schoolsonly,1,6.075346031088684,1,0.0011494252873563218,0.0003730581852118447,1,0.3245606211343049,0.0011494252873563218
1832,richer,1,6.075346031088684,1,0.0011494252873563218,0.0003730581852118447,1,0.3245606211343049,0.0011494252873563218
1830,baby,1,6.075346031088684,1,0.0011494252873563218,0.0003730581852118447,1,0.3245606211343049,0.0011494252873563218
1835,trumped,1,6.075346031088684,1,0.0011494252873563218,0.0003730581852118447,1,0.3245606211343049,0.0011494252873563218
3197,ideas,1,6.075346031088684,1,0.0011494252873563218,0.00037302860496813827,1,0.3245348863222803,0.0011494252873563218
3199,pockets,1,6.075346031088684,1,0.0011494252873563218,0.00037302860496813827,1,0.3245348863222803,0.0011494252873563218
3198,internalized,1,6.075346031088684,1,0.0011494252873563218,0.00037302860496813827,1,0.3245348863222803,0.0011494252873563218
3196,decades,1,6.075346031088684,1,0.0011494252873563218,0.00037302860496813827,1,0.3245348863222803,0.0011494252873563218
3195,corporate,1,6.075346031088684,1,0.0011494252873563218,0.00037302860496813827,1,0.3245348863222803,0.0011494252873563218
3200,shitty,1,6.075346031088684,1,0.0011494252873563218,0.00037302860496813827,1,0.3245348863222803,0.0011494252873563218
1485,labourgreens,1,6.075346031088684,1,0.0011494252873563218,0.00037296824170604526,1,0.32448237028425936,0.0011494252873563218
1486,legacy,1,6.075346031088684,1,0.0011494252873563218,0.00037296824170604526,1,0.32448237028425936,0.0011494252873563218
492,island,1,6.075346031088684,1,0.0011494252873563218,0.00037258046117936343,1,0.32414500122604617,0.0011494252873563218
490,challenge,1,6.075346031088684,1,0.0011494252873563218,0.00037258046117936343,1,0.32414500122604617,0.0011494252873563218
489,cancelled,1,6.075346031088684,1,0.0011494252873563218,0.00037258046117936343,1,0.32414500122604617,0.0011494252873563218
495,rhode,1,6.075346031088684,1,0.0011494252873563218,0.00037258046117936343,1,0.32414500122604617,0.0011494252873563218
1774,eager,1,6.075346031088684,1,0.0011494252873563218,0.0003723887479147398,1,0.32397821068582366,0.0011494252873563218
1776,passion,1,6.075346031088684,1,0.0011494252873563218,0.0003723887479147398,1,0.32397821068582366,0.0011494252873563218
1773,appreciate,1,6.075346031088684,1,0.0011494252873563218,0.0003723887479147398,1,0.32397821068582366,0.0011494252873563218
4007,magical,1,6.075346031088684,1,0.0011494252873563218,0.00037238624562577086,1,0.32397603369442063,0.0011494252873563218
4006,cauldron,1,6.075346031088684,1,0.0011494252873563218,0.00037238624562577086,1,0.32397603369442063,0.0011494252873563218
4005,bodega,1,6.075346031088684,1,0.0011494252873563218,0.00037238624562577086,1,0.32397603369442063,0.0011494252873563218
1624,sweden,1,6.075346031088684,1,0.0011494252873563218,0.00037218837004608657,1,0.3238038819400953,0.0011494252873563218
1622,legalized,1,6.075346031088684,1,0.0011494252873563218,0.00037218837004608657,1,0.3238038819400953,0.0011494252873563218
1410,parts,1,6.075346031088684,1,0.0011494252873563218,0.0003721443576570368,1,0.323765591161622,0.0011494252873563218
1411,similar,1,6.075346031088684,1,0.0011494252873563218,0.0003721443576570368,1,0.323765591161622,0.0011494252873563218
1412,struck,1,6.075346031088684,1,0.0011494252873563218,0.0003721443576570368,1,0.323765591161622,0.0011494252873563218
1379,beyond,1,6.075346031088684,1,0.0011494252873563218,0.0003719466706079147,1,0.32359360342888577,0.0011494252873563218
1382,messanxious,1,6.075346031088684,1,0.0011494252873563218,0.0003719466706079147,1,0.32359360342888577,0.0011494252873563218
1377,4everythingthis,1,6.075346031088684,1,0.0011494252873563218,0.0003719466706079147,1,0.32359360342888577,0.0011494252873563218
1381,grieving,1,6.075346031088684,1,0.0011494252873563218,0.0003719466706079147,1,0.32359360342888577,0.0011494252873563218
1384,specials,1,6.075346031088684,1,0.0011494252873563218,0.0003719466706079147,1,0.32359360342888577,0.0011494252873563218
3580,supplies,1,6.075346031088684,1,0.0011494252873563218,0.0003718234215532882,1,0.3234863767513607,0.0011494252873563218
3579,constructed,1,6.075346031088684,1,0.0011494252873563218,0.0003718234215532882,1,0.3234863767513607,0.0011494252873563218
2611,age,1,6.075346031088684,1,0.0011494252873563218,0.0003715566171534096,1,0.3232542569234663,0.0011494252873563218
2616,penalty2,1,6.075346031088684,1,0.0011494252873563218,0.0003715566171534096,1,0.3232542569234663,0.0011494252873563218
2617,reimposition,1,6.075346031088684,1,0.0011494252873563218,0.0003715566171534096,1,0.3232542569234663,0.0011494252873563218
